Sample	F1E	F2A	F2D	F2E	F3E	N1B	N1C	N1D	N1E	N2A	N2B	N2D	N3A	N3C	N3E
commons	Gandhi	Turing	Turing	Turing	Hopper	Carver	Carver	Carver	Carver	Newton	Newton	Newton	Galileo	Galileo	Galileo
Bacteria|Acidobacteria|[Chloracidobacteria]	0	0	0	0.00356294536817102	0.00725058004640371	0	0	0	0.00174992045816099	0	0.00093248787765759	0.000381279191688114	0.00479692996482251	0	0
Bacteria|Actinobacteria|Acidimicrobiia	0	0	0	0	0	0	0.00702370500438982	0.000594795539033457	0.000795418390073179	0.00164512338425382	0	0	0.000767508794371602	0.00250487058168661	0
Bacteria|Actinobacteria|Unclassified Actinobacteria	0.00161852589641434	0.00090702947845805	0	0	0	0	0	0.000148698884758364	0	0.00517038777908343	0.00031082929255253	0.00190639595844057	0.00338983050847458	0.00528806011689396	0
Bacteria|Actinobacteria|Actinobacteria	0.151767928286853	0.648979591836735	0.203081586259156	0.174188440221694	0.167343387470998	0.22535727372664	0.34108867427568	0.121883519206939	0.215399300031817	0.167332549941246	0.294044510754694	0.20303116957392	0.207611128877518	0.196214862232118	0.0890125173852573
Bacteria|Actinobacteria|Thermoleophilia	0.0207918326693227	0.00151171579743008	0	0	0.00696055684454756	0.0153902528398681	0.014486391571554	0.00456009913258984	0.0181355392936685	0.0131609870740306	0.00192714161382569	0.00943665999428081	0.0295490885833067	0.0403562482605065	0.00486787204450626
Bacteria|Firmicutes|Bacilli	0.111802788844622	0.0708994708994709	0.484970952260672	0.224069675376089	0.278712296983759	0.220960058629535	0.183933274802458	0.263890954151177	0.0951320394527521	0.107873090481786	0.165299017779436	0.132685158707464	0.160089542692677	0.141386028388533	0.0514603616133519
Bacteria|Firmicutes|Unclassified Firmicutes	0.00585159362549801	0.00151171579743008	0.0131346299570599	0.0110847189231987	0.0159512761020882	0.00329791132282887	0	0.00396530359355638	0.0103404390709513	0.0110458284371328	0.0299017779435534	0.0136307311028501	0.0176527022705469	0.027275257445032	0
Bacteria|Planctomycetes|Planctomycetia	0	0.00196523053665911	0	0	0	0	0	0.000446096654275093	0	0	0	0	0.000959385992964503	0.00667965488449763	0
Bacteria|Verrucomicrobia|[Pedosphaerae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00347705146036161
Bacteria|Verrucomicrobia|Verrucomicrobiae	0.00161852589641434	0	0	0	0	0	0	0	0	0	0	0	0.00262232171410297	0	0
Bacteria|Verrucomicrobia|Unclassified Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0.000511672529581068	0	0
Bacteria|Fusobacteria|Fusobacteriia	0	0	0	0	0.00812064965197216	0.00219860754855258	0.00526777875329236	0	0	0.00258519388954172	0	0	0	0	0
